review_id,dex,family_anchor,family_line,source_id,base_pokemon,variant,source,group,kind,type1,type2,asset_state,suggested_mercury_classification,suggested_acquisition,locked_status,approval,notes
R0277,157,155,#0155 Cyndaquil → #0156 Quilava → #0157 Typhlosion,CPF-0087,Typhlosion,Typhlosion — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fire,Ground,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0278,157,155,#0155 Cyndaquil → #0156 Quilava → #0157 Typhlosion,CPF-0088,Typhlosion,Typhlosion — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fire,Ghost,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0279,159,158,#0158 Totodile → #0159 Croconaw → #0160 Feraligatr,CPF-0089,Croconaw,Croconaw — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Water,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0280,160,158,#0158 Totodile → #0159 Croconaw → #0160 Feraligatr,ER-1530,Feraligatr,Feraligatr Mega X,Elite Redux,04 Elite Redux - Standard Megas,Mega,Water,Dragon,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0281,160,158,#0158 Totodile → #0159 Croconaw → #0160 Feraligatr,ER-1531,Feraligatr,Feraligatr Mega Y,Elite Redux,04 Elite Redux - Standard Megas,Mega,Water,Electric,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0282,160,158,#0158 Totodile → #0159 Croconaw → #0160 Feraligatr,PR-0160,Feraligatr,Platinum Redux Feraligatr,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Water,Dark,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0283,160,158,#0158 Totodile → #0159 Croconaw → #0160 Feraligatr,CPF-0090,Feraligatr,Feraligatr — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Water,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0284,162,161,#0161 Sentret → #0162 Furret,PR-0162,Furret,Platinum Redux Furret,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Normal,Fire,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0285,163,163,#0163 Hoothoot → #0164 Noctowl,CPF-0091,Hoothoot,Hoothoot — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Psychic,Flying,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0286,164,163,#0163 Hoothoot → #0164 Noctowl,PR-0164,Noctowl,Platinum Redux Noctowl,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Ghost,Flying,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0287,164,163,#0163 Hoothoot → #0164 Noctowl,CPF-0092,Noctowl,Noctowl — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Psychic,Flying,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0288,165,165,#0165 Ledyba → #0166 Ledian,CPF-0093,Ledyba,Ledyba — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Fighting,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0289,166,165,#0165 Ledyba → #0166 Ledian,PR-0166,Ledian,Platinum Redux Ledian,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Bug,Fighting,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0290,166,165,#0165 Ledyba → #0166 Ledian,CPF-0094,Ledian,Ledian — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Fighting,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0291,168,167,#0167 Spinarak → #0168 Ariados,PR-0168,Ariados,Platinum Redux Ariados,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Bug,Ghost,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0292,171,170,#0170 Chinchou → #0171 Lanturn,ER-1546,Lanturn,Lanturn Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Water,Electric,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0293,468,175,#0175 Togepi → #0176 Togetic → #0468 Togekiss,PR-0468,Togekiss,Platinum Redux Togekiss,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Psychic,Flying,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0294,177,177,#0177 Natu → #0178 Xatu,CPF-0095,Natu,Natu — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ghost,Flying,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0295,178,177,#0177 Natu → #0178 Xatu,CPF-0096,Xatu,Xatu — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ghost,Flying,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0296,180,179,#0179 Mareep → #0180 Flaaffy → #0181 Ampharos,CPF-0097,Flaaffy,Flaaffy — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Electric,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0297,181,179,#0179 Mareep → #0180 Flaaffy → #0181 Ampharos,PR-0181,Ampharos,Platinum Redux Ampharos,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Electric,Dragon,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0298,181,179,#0179 Mareep → #0180 Flaaffy → #0181 Ampharos,CPF-0098,Ampharos,Ampharos — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Electric,Dragon,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0299,181,179,#0179 Mareep → #0180 Flaaffy → #0181 Ampharos,CPF-0099,Ampharos,Ampharos — Alternate Mega (Form 3),Reborn / Plates of Arceus,02 Reborn - Explicit Megas,Mega,Electric,Dragon,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0300,298,183,#0298 Azurill → #0183 Marill → #0184 Azumarill,PR-0298,Azurill,Platinum Redux Azurill,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Ghost,Ground,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0301,184,183,#0298 Azurill → #0183 Marill → #0184 Azumarill,PR-0184,Azumarill,Platinum Redux Azumarill,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Water,Normal,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0302,438,185,#0438 Bonsly → #0185 Sudowoodo,PR-0438,Bonsly,Platinum Redux Bonsly,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Fire,Ghost,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0303,185,185,#0438 Bonsly → #0185 Sudowoodo,PR-0185,Sudowoodo,Platinum Redux Sudowoodo,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Rock,Grass,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0304,190,190,#0190 Aipom → #0424 Ambipom,PR-0190,Aipom,Platinum Redux Aipom,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Rock,,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0305,424,190,#0190 Aipom → #0424 Ambipom,PR-0424,Ambipom,Platinum Redux Ambipom,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Rock,Dark,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0306,192,191,#0191 Sunkern → #0192 Sunflora,PR-0192,Sunflora,Platinum Redux Sunflora,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Grass,Fire,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0307,192,191,#0191 Sunkern → #0192 Sunflora,CPF-0101,Sunflora,Sunflora — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Grass,Fire,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0308,192,191,#0191 Sunkern → #0192 Sunflora,CPF-0102,Sunflora,Sunflora — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Grass,Water,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0309,193,193,#0193 Yanma → #0469 Yanmega,CPF-0103,Yanma,Yanma — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ground,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0310,469,193,#0193 Yanma → #0469 Yanmega,BP-MEGA-021,Yanmega,Mega Yanmega,Banished Platinum / Original Megas,07 Banished Platinum - Original Megas,Mega,Bug,Dragon,Front + back only,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0311,469,193,#0193 Yanma → #0469 Yanmega,CPF-0104,Yanmega,Yanmega — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ground,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0312,194,194,#0194 Wooper → #0195 Quagsire,CPF-0105,Wooper,Wooper — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Water,Ground,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0313,195,194,#0194 Wooper → #0195 Quagsire,ER-1533,Quagsire,Quagsire Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Water,Ground,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0314,195,194,#0194 Wooper → #0195 Quagsire,CPF-0106,Quagsire,Quagsire — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Water,Ground,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0315,430,198,#0198 Murkrow → #0430 Honchkrow,BP-MEGA-006,Honchkrow,Mega Honchkrow,Banished Platinum / Original Megas,07 Banished Platinum - Original Megas,Mega,,,Front + back only,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0316,200,200,#0200 Misdreavus → #0429 Mismagius,CPF-0108,Misdreavus,Misdreavus — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ghost,Psychic,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0317,429,200,#0200 Misdreavus → #0429 Mismagius,PR-0429,Mismagius,Platinum Redux Mismagius,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Ghost,Dark,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0318,429,200,#0200 Misdreavus → #0429 Mismagius,CPF-0109,Mismagius,Mismagius — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ghost,Psychic,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0319,360,202,#0360 Wynaut → #0202 Wobbuffet,PR-0360,Wynaut,Platinum Redux Wynaut,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Water,Ghost,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0320,202,202,#0360 Wynaut → #0202 Wobbuffet,PR-0202,Wobbuffet,Platinum Redux Wobbuffet,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Ghost,Grass,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0321,203,203,#0203 Girafarig → #0981 Farigiraf,CPF-0110,Girafarig,Girafarig — BlueTowel Alternate form (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Psychic,Normal,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0322,206,206,#0206 Dunsparce → #0982 Dudunsparce,PR-0206,Dunsparce,Platinum Redux Dunsparce,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Poison,Ground,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0323,206,206,#0206 Dunsparce → #0982 Dudunsparce,CPF-0116,Dunsparce,Dunsparce — BT Alt Forms - Draco (Form 6),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Normal,Dragon,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0324,206,206,#0206 Dunsparce → #0982 Dudunsparce,CPF-0112,Dunsparce,Dunsparce — BT Alt Forms - Earth (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Normal,Ground,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0325,206,206,#0206 Dunsparce → #0982 Dudunsparce,CPF-0114,Dunsparce,Dunsparce — BT Alt Forms - Insect (Form 4),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Normal,Bug,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0326,206,206,#0206 Dunsparce → #0982 Dudunsparce,CPF-0113,Dunsparce,Dunsparce — BT Alt Forms - Sky (Form 3),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Normal,Flying,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0327,206,206,#0206 Dunsparce → #0982 Dudunsparce,CPF-0115,Dunsparce,Dunsparce — BT Alt Forms - Spooky (Form 5),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Normal,Ghost,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0328,206,206,#0206 Dunsparce → #0982 Dudunsparce,CPF-0111,Dunsparce,Dunsparce — BT Alt Forms - Toxic (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Normal,Poison,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0329,207,207,#0207 Gligar → #0472 Gliscor,ER-1828,Gligar,Gligar Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Poison,Fire,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0330,207,207,#0207 Gligar → #0472 Gliscor,CPF-0230,Gligar,Gligar — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ground,Poison,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0331,472,207,#0207 Gligar → #0472 Gliscor,ER-1829,Gliscor,Gliscor Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Poison,Fire,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0332,472,207,#0207 Gligar → #0472 Gliscor,CPF-0231,Gliscor,Gliscor — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ground,Poison,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0333,209,209,#0209 Snubbull → #0210 Granbull,PR-0209,Snubbull,Platinum Redux Snubbull,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Rock,,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0334,209,209,#0209 Snubbull → #0210 Granbull,CPF-0119,Snubbull,Snubbull — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fairy,Dark,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0335,210,209,#0209 Snubbull → #0210 Granbull,ER-1532,Granbull,Granbull Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Fairy,Ground,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0336,210,209,#0209 Snubbull → #0210 Granbull,PR-0210,Granbull,Platinum Redux Granbull,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Rock,Fire,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0337,210,209,#0209 Snubbull → #0210 Granbull,CPF-0120,Granbull,Granbull — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fairy,Dark,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0338,211,211,#0211 Qwilfish,PR-0211,Qwilfish,Platinum Redux Qwilfish,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Flying,Dragon,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0339,213,213,#0213 Shuckle,ER-1524,Shuckle,Shuckle Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Bug,Rock,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0340,213,213,#0213 Shuckle,PR-0213,Shuckle,Platinum Redux Shuckle,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Rock,Poison,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0341,215,215,#0215 Sneasel → #0461 Weavile,CPF-0122,Sneasel,Sneasel — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Dark,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0342,215,215,#0215 Sneasel → #0461 Weavile,CPF-0123,Sneasel,Sneasel — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Dark,Fighting,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0343,461,215,#0215 Sneasel → #0461 Weavile,BP-MEGA-020,Weavile,Mega Weavile,Banished Platinum / Original Megas,07 Banished Platinum - Original Megas,Mega,,,Front + back only,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0344,461,215,#0215 Sneasel → #0461 Weavile,ER-1789,Weavile,Weavile Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Ground,Dark,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0345,461,215,#0215 Sneasel → #0461 Weavile,ER-1615,Weavile,Weavile Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Dark,Ice,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0346,461,215,#0215 Sneasel → #0461 Weavile,ER-1790,Weavile,Weavile Redux Mega,Elite Redux,06 Elite Redux - Redux Megas,Mega,Ground,Dark,4-view complete,Mega Delta,Mega Evolution of the corresponding Delta form,REVIEW,PENDING,
R0347,461,215,#0215 Sneasel → #0461 Weavile,CPF-0124,Weavile,Weavile — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Poison,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0348,217,216,#0216 Teddiursa → #0217 Ursaring → #0901 Ursaluna,PR-0217,Ursaring,Platinum Redux Ursaring,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Normal,Fighting,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0349,901,216,#0216 Teddiursa → #0217 Ursaring → #0901 Ursaluna,ER-1772,Ursaluna,Ursaluna Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Ground,Normal,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0350,218,218,#0218 Slugma → #0219 Magcargo,ER-1734,Slugma,Slugma Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Grass,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0351,219,218,#0218 Slugma → #0219 Magcargo,ER-1735,Magcargo,Magcargo Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Grass,Rock,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0352,220,220,#0220 Swinub → #0221 Piloswine → #0473 Mamoswine,ER-1685,Swinub,Swinub Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Ground,Grass,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0353,221,220,#0220 Swinub → #0221 Piloswine → #0473 Mamoswine,ER-1686,Piloswine,Piloswine Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Ground,Grass,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0354,473,220,#0220 Swinub → #0221 Piloswine → #0473 Mamoswine,BP-MEGA-010,Mamoswine,Mega Mamoswine,Banished Platinum / Original Megas,07 Banished Platinum - Original Megas,Mega,Ghost,Ground,Front + back only,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0355,473,220,#0220 Swinub → #0221 Piloswine → #0473 Mamoswine,ER-1687,Mamoswine,Mamoswine Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Ground,Grass,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0356,473,220,#0220 Swinub → #0221 Piloswine → #0473 Mamoswine,ER-1688,Mamoswine,Mamoswine Mega,Elite Redux,06 Elite Redux - Redux Megas,Mega,Ground,Grass,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0357,222,222,#0222 Corsola,PR-0222,Corsola,Platinum Redux Corsola,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Ground,,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0358,222,222,#0222 Corsola,CPF-0121,Corsola,Corsola — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ghost,,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0359,458,223,#0458 Mantyke → #0223 Remoraid → #0226 Mantine → #0224 Octillery,PR-0458,Mantyke,Platinum Redux Mantyke,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Flying,Dragon,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0360,223,223,#0458 Mantyke → #0223 Remoraid → #0226 Mantine → #0224 Octillery,CPF-0125,Remoraid,Remoraid — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Water,Poison,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0361,226,223,#0458 Mantyke → #0223 Remoraid → #0226 Mantine → #0224 Octillery,PR-0226,Mantine,Platinum Redux Mantine,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Poison,,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0362,224,223,#0458 Mantyke → #0223 Remoraid → #0226 Mantine → #0224 Octillery,PR-0224,Octillery,Platinum Redux Octillery,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Water,Steel,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0363,224,223,#0458 Mantyke → #0223 Remoraid → #0226 Mantine → #0224 Octillery,CPF-0126,Octillery,Octillery — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Water,Poison,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0364,227,227,#0227 Skarmory,ER-1747,Skarmory,Skarmory Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Steel,Fire,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0365,227,227,#0227 Skarmory,ER-1520,Skarmory,Skarmory Mega X,Elite Redux,04 Elite Redux - Standard Megas,Mega,Steel,Flying,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
